title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Observationes de theoremate quodam Fermatiano aliisque ad numeros primos spectantibus;Observations on a theory of Fermat and others on looking at prime numbers;26;23;Latin;1732;1732;1732;journal;article;Commentarii academiae scientiarum Petropolitanae;6;103-107;1;2;1;5;E26;26;https://scholarlycommons.pacific.edu/euler-works/26
Problematis isoperimetrici in latissimo sensu accepti solutio generalis;On isoperimetric problems in the widest sense;27;383;Latin;1732;1732;1732;journal;article;Commentarii academiae scientiarum Petropolitanae;6;123-155;1;25;13;40;E27;27;https://scholarlycommons.pacific.edu/euler-works/27
Specimen de constructione aequationum differentialium sine indeterminatarum separatione;Example of the construction of equations;28;250;Latin;1733;1733;1733;journal;article;Commentarii academiae scientiarum Petropolitanae;6;168-174;1;20;1;7;E28;28;https://scholarlycommons.pacific.edu/euler-works/28
De solutione problematum diophanteorum per numeros integros;On the solution of a problem of Diophantus;29;53;Latin;1733;1733;1733;journal;article;Commentarii academiae scientiarum Petropolitanae;6;175-188;1;2;6;17;E29;29;https://scholarlycommons.pacific.edu/euler-works/29
De formis radicum aequationum cuiusque ordinis coniectatio;Inferences on the forms of roots of equations and of their orders;30;110;Latin;1733;1733;1733;journal;article;Commentarii academiae scientiarum Petropolitanae;6;216-231;1;6;1;19;E30;30;https://scholarlycommons.pacific.edu/euler-works/30
Constructio aequationis differentialis <em>ax</em><sup><em>n</em></sup> <em>dx</em> = <em>dy</em> + <em>y</em><sup>2</sup> <em>dx</em>;Solution to differential equations of the form <em>ax</em><sup><em>n</em></sup> <em>dx</em> = <em>dy</em> + <em>y</em><sup>2</sup> <em>dx</em>;31;251;Latin;1733;1733;1733;journal;article;Commentarii academiae scientiarum Petropolitanae;6;124-137;1;22;19;35;E31;31;https://scholarlycommons.pacific.edu/euler-works/31
Von der Gestalt der Erden;On the shape of the earth;32;;Russian, German;1738;1738;1738;journal;article;Remarks on the Vedomosti;1738;;3;2;325;346;E32;32;https://scholarlycommons.pacific.edu/euler-works/32
Tentamen novae theoriae musicae;An attempt at a new theory of music, exposed in all clearness, according to the most well-founded principles of harmony;33;529;Latin;1731;1731;1731;quarto;book;St. Petersburg: Imperial Academy of Sciences;1739;1-263;3;1;197;427;E33;33;https://scholarlycommons.pacific.edu/euler-works/33
Dissertatio de igne in qua ejus natura et proprietates explicantur;Dissertation on fire in which its nature and properties are explained;34;737;Latin;1737;1737;1737;Paris prize;article;Pièce qui ont remporté le prix de l'académie royale des sciences;1738;5-21;3;10;;;E34;34;https://scholarlycommons.pacific.edu/euler-works/34
Einleitung zur Rechen-Kunst zum Gebrauch des Gymnasii bey der Kayserlichen Academie der Wissenschafften in St. Petersburg;Introduction to the Art of Reckoning, for use in the Gymnasiums of the Imperial Academy of Sciences in St. Petersburg;35;;German;1740;1740;1740;octavo;book;St. Petersburg: Imperial Academy of Sciences;;1-257;3;2;;;E35;35;https://scholarlycommons.pacific.edu/euler-works/35
